x,y
-2.4731988799340563,-2.3468125553987047
-1.7612722712080062,-1.671285857159052
-1.6023516808171252,-1.5204906763170918
-1.5024739624484513,-1.4257195798440525
-1.4281128577011222,-1.3551604646884818
-1.3682233466102536,-1.2983330288397268
-1.3177277796058917,-1.2504192365525757
-1.2738523555006653,-1.2087871075994168
-1.2349090254123585,-1.1718349009104632
-1.199790941068517,-1.1385123599708176
-1.1677314461043788,-1.1080920265896717
-1.1381766936481708,-1.0800483713879665
-1.110713001084866,-1.0539888628215475
-1.0850228846222474,-1.0296122496444682
-1.0608571478262105,-1.0066820765223157
-1.0380164506030198,-0.9850091953691815
-1.0163387301595537,-0.9644398294583592
-0.9956903714010724,-0.94484719526655
-0.9759598573730156,-0.9261254775605706
-0.9570531059083466,-0.9081854044760425
-0.9388899806530903,-0.8909509369297987
-0.9214016375271935,-0.8743567507528565
-0.904528476799889,-0.8583462934735879
-0.8882185416370738,-0.8428702647453526
-0.8724262508235533,-0.8278854138630576
-0.8571113850609952,-0.8133535778904182
-0.8422382680953708,-0.7992409046553228
-0.827775099250981,-0.7855172194105522
-0.8136934048603467,-0.7721555043113691
-0.7999675839609585,-0.7591314673402205
-0.7865745293973022,-0.7464231827813389
-0.7734933097378759,-0.7340107894009417
-0.7607049006155401,-0.7218762355238107
-0.7481919565196956,-0.7100030624934488
-0.7359386159176429,-0.6983762197573378
-0.7239303340075299,-0.6869819061710184
-0.7121537385130156,-0.6758074331657897
-0.7005965047975402,-0.6648411062482307
-0.6892472472609864,-0.6540721219496118
-0.6780954245257579,-0.6434904778596918
-0.6671312563547078,-0.633086893792526
-0.6563456505937625,-0.6228527424644225
-0.6457301387158182,-0.612779988333398
-0.6352768187734398,-0.6028611334686336
-0.6249783047569394,-0.5930891694978104
-0.6148276815098729,-0.5834575348277203
-0.6048184644824784,-0.5739600764554604
-0.5949445637102545,-0.5645910157887407
-0.5852002514937857,-0.5553449179782002
-0.5755801333303924,-0.5462166643352842
-0.5660791217107427,-0.5372014274686028
-0.5566924124463616,-0.5282946488217846
-0.5474154632386673,-0.5194920183382508
-0.5382439742381425,-0.5107894560143724
-0.5291738703746257,-0.5021830951331908
-0.520201285267383,-0.4936692669971471
-0.5113225465473771,-0.48524448700080597
-0.5025341624445772,-0.47690544190393874
-0.4938328095107777,-0.4686489781820591
-0.485215321363643,-0.4604720913459705
-0.4766786783509246,-0.4523719161344393
-0.4682199980452907,-0.44434571749501117
-0.45983652649024087,-0.4363908822775118
-0.4515256301263346,-0.4285049115730767
-0.4432847883346319,-0.42068541363883605
-0.43511158654097964,-0.412930097354771
-0.4270037098307011,-0.40523676616487553
